,title,label
0,CompositeException.printStackTrace vulnerable to OOM when there are too many exceptions wrapped.,BUG
1,3.x Flowable#sample may complete on an interrupted thread,BUG
2,2.x - Observable.toFlowable(ERROR) not releasing upstream on MissingBackPressure,BUG
3,3.x: Observable.window() operators do not dispose upstream while there is an active window,BUG
4,FlowableFilter potentially corrupts the source after observeOn,BUG
5,Flowable.groupBy hangs with group consumed via observeOn and take(timed),BUG
6,3.0.3 - Hangs when using combination of flatMap and publish,BUG
7,2.x: open for grabs: backport #6946,BUG
8,Deadlock,BUG
9,Observable.replay - a bug or a feature?,BUG
10,Flowable.Switchmap sometimes doesn't unsubscribe from inner stream,BUG
11,2.x: Unexpected behaviour of GroupBy operator wrt. request handling,BUG
12,2.x: Unexpected Flowable.flatMap(...) behavior while handling an upstream error,BUG
13,"2.x: Zip, CombineLatest, and Amb operators throw when supplied with ObservableSource implementation that doesn't subclass Observable",BUG
14,2.x: Unexpected behaviour of MulticastProcessor with buffer size larger than 1,BUG
15,NPE in SpscLinkedArrayQueue.clear due to concurrent invocation,BUG
16,"Observable#window(long, java.util.concurrent.TimeUnit, long) if reached ""window-max-count"", the timespan not work",BUG
17,"2.x: confused of method takeLast(long,TimeUnit)",BUG
18,Flowable.fromIterable does not work as expected when used in switchMap,BUG
19,ReplaySubject and buffer with debounce not emitting values after first subscription,BUG
20,"using Observable#mergeWith(CompletableSource), upstream occurs an error, but the ComletableSource won't be disposed",BUG
21,Inner errors within concatMapSingle vanish if disposed,BUG
22,ObservableBlockingSubscribe compares BlockingObserver.TERMINATED with wrong object,BUG
23,2.x/3.x - NPE when debouncing empty source,BUG
24,Issus about Flowable concatMapDelayError,BUG
25,publish().refCount() race may leave observers hanging,BUG
26,Multiple errors in zip'ed observables with flatMap,BUG
27,[Question] Flowable.blockingFirst gets stuck,BUG
28,concatEager does not unsubscribe from sources,BUG
29,[2.2.6] window() operator leaks subscriptions,BUG
30,Single.observeOn wrongly interrupt thread,BUG
31,2.x: Deadlock when adding doOnSubscribe to Flowable,BUG
32,2.x: Disposable already set! using delaySubscription with takeUntil/repeatWhen,BUG
33,2.x: refCount doesn't reset its source if one of its subscribers cancels immediately,BUG
34,flatMap concurrency decrease in case of simultaneous finishing in the child observables,BUG
35,Possible concurrency issue with .refCount()? (2.2.0),BUG
36,Using publish/share/etc leads to upstream operator running on unexpected scheduler,BUG
37,[2.1.15] map method called with null,BUG
38,2.x: error handling - exception swallowed after explicit .dispose().,BUG
39,Single.takeUntil does not dispose subscription to 'other' upon disposal,BUG
40,Drain applies mappers without scheduling.,BUG
41,concatMapSingle ignores some onNext events,BUG
42,1.x OperatorTake seem to swallow Exceptions,BUG
43,2.x -- groupBy with evicting map -- seeing inconsistent behavior when eviction occurs,BUG
44,[2.1.11] NPE in SpscLinkedArrayQueue.lvElement,BUG
45,Flowable.singleOrError() does not signal an exception if followed by flatMapPublisher,BUG
46,Incorrect upstream management in window(Observable) and window(Callable),BUG
47,2.x Observable onError does not dispose switchMap's inner ObservableSource,BUG
48,2.x: FlowableBufferBoundary doesn't stop opening new windows in overlapping case,BUG
49,2.x: part of the stream continues after error in Flowable but not Observable.,BUG
50,2.x: SingleFromCallable doesn't check isDisposed before calling onError or onSuccess.,BUG
51,1.x: unsubscribeOn overrides downstream backpressure requests,BUG
52,observeOn unsubscribes child observables/interrupts the thread,BUG
53,observeOn on Flowable.rangeLong does not emit values on provided scheduler,BUG
54,RxJava 1.3 -- timeout not unsubscribing from original observable,BUG
55,2.1.3 Observable#concatMapEager queue size issue,BUG
56,1.x: RxJava v1.3.1 references method not present in JRE < 8 (NewThreadWorker.purgeExecutors),BUG
57,2.x - CombineLatestDelayError throwing error before subscribing other observables,BUG
58,1.x Single#flatMapCompletable calls hooks onError when mapping to an error completeable,BUG
59,2.x Time bounded replaySubject getValue() unexpected behavior,BUG
60,1.x - AsyncOnSubscribe may never complete due to premature unsubscribe from requested observables when onCompleted is emitted from the callback.,BUG
61,"[2.1.0] buffer(timespan, unit, count) emits duplicated items",BUG
62,Rx 2.x SingleMap should not allow null mapper?,BUG
63,2.x: minor mistakes to be fixed,BUG
64,2.x NullPointerException while subscribing to BehaviorProcessor,BUG
65,Single's Disposable is not disposing.,BUG
66,2.x: NullPointerException in FlowableToList$ToListSubscriber.onNext,BUG
67,1.2.9: Completable not unsubscribe with onErrorResumeNext,BUG
68,Is delaySubscription() interrupts the thread immediately as expected?,BUG
69,Thread running otherSingleSource of a timeout is interrupted before running,BUG
70,2.x: Disposable returned from Single.subscribe() is not disposed after terminal event,BUG
71,2.x: replay() seems to be still replaying old data for late subscribers,BUG
72,retryWhen method signature for with Completable and Single,BUG
73,2.x v2.0.6 Single.merge produce UndeliverableError [Question],BUG
74,[1.2.6] throttleFirst doesn't emit item if user changed system time as past,BUG
75,2.x: Disposal of ObservableCombineLatest's observers?,BUG
76,"2.x : window(timespan, unit, count) always emit empty observable if not reach max count",BUG
77,Maybe concat with firstElement still call second Maybe although the first emit value,BUG
78,2.0.4 FlowableScanSeed introduces delay,BUG
79,2.x: NPE at ObservableReplay.ReplayObserver.dispose(),BUG
80,GroupBy with flatMap and observeOn does not seem to support backpressure in 1.2.x,BUG
81,2.0.4: an infinite disposable,BUG
82,2.x Exception unhandled after dispose(),BUG
83,2.x Observable.combineLatestDelayError delivers Error after completion,BUG
84,2.x Observable#concatMapEager doesn't always preserve order,BUG
85,2.x: WithLatestFrom not calling onSubscribe() on `actual` observer,BUG
86,2.0.3 Single.takeUntil() crashes ,BUG
87,RxJava 2.0.4 Observable calls dispose before terminal event.,BUG
88,Using Observable.timeout could cause uncaught exception in RxJava 2.x,BUG
89,BaseLinkedQueueProducerNodeRef  ignored flag rx.unsafe-disable,BUG
90,Problem with Flowable.generate() (RxJava 2),BUG
91,[2.x] IllegalStateException on Observable.timer with 0 milliseconds,BUG
92,2.x Single.flatMapCompletable expects Completable instead of CompletableSource,BUG
93,2.x: TestSubscriber/TestObserver wrong error message,BUG
94,2.x: retryWhen signature,BUG
95,2.x: Observable.repeatWhen doesn't call onComplete,BUG
96,2.x: Converting `firstOrError` to Observable swallows error,BUG
97,TestScheduler and/or TestSubscriber doesn't work for nanoseconds,BUG
98,Completable.doOnDipose() not called when disposing with TestObserver,BUG
99,Completable.concat(Obsevable<Completable>..) unsubscribes  from child completables not in time,BUG
100,1.2.2 Please implement Completable.doAfterTerminate to be called after onError also,BUG
101,2.x: terminating repeatWhen,BUG
102,[2.0.0] repeatWhen/retryWhen memory leak,BUG
103,"No subscriber methods are called at all, when having npe because of illegal switchIfEmpty usage",BUG
104,[2.0.0-RC5] distinctUntilChanged doesn't work nicely with mutable objects,BUG
105,AssemblyStackTraceException doesn't account for unknown causes,BUG
106,fromEmitter same-pool deadlock,BUG
107,Subscription#isUnsubscribed of Single keep false after onSuccess/onError,BUG
108,2.0.0 RC4 Errors get lost with flatMapSingle and Single.fromCallable,BUG
109,2.x: ElementAt Operators in Observable and Flowable don't behave correctly on empty sources,BUG
110,2.x: Possible 6.x/Android compatibility issue,BUG
111,2.x Flowable::amb(Iterable) and Observable::amb(Iterable) throw NP,BUG
112,throwing a Serializable RuntimeException in OnNext requires OnNext value to be Serializable as well,BUG
113,RxJava2 `Observable.zip` taking `Iterable` and a `zipper` is broken,BUG
114,2.x Should observer be disposed after the source observable has finished emitting items?,BUG
115,[RxJava 2.0.0-RC2] Observable.switchMap doesn't unsubscribe from inner Observable,BUG
116,2.x: IllegalStateException: Disposable already set!,BUG
117,Disposables.from annoying to use with lambda,BUG
118,Schedulers.io() reuses blocked threads,BUG
119,OperatorReplay leaks its subscribers,BUG
120,RxJavaHooks.enableAssemblyTracking() breaks error handling,BUG
121,"2.x: Subscribers, Observables classes leak internal types into the public API",BUG
122,Question about onError propagation in Completable#onErrorComplete,BUG
123,1.x: NullPointerException in OperatorSwitch,BUG
124,toSingle() leaks subscriber if followed by flatmap.,BUG
125,Should RxRingBuffer's validator really be on the computation scheduler?,BUG
126,Possible resource leak in OnSubscribeUsing,BUG
127,RxJava 1.1.4 regression crash,BUG
128,Filter breaks backpressure,BUG
129,java.lang.IllegalStateException: more items arrived than were requested,BUG
130,onCompleted swallows all exceptions,BUG
131,Single not calling doAfterTerminate when used in flatMap,BUG
132,Exceptions thrown by Iterator.next() cannot be caught by the observer whe,BUG
133,Concurrency against ArrayDeque?,BUG
134,OperatorSwitch keeping reference to previous Observable longer than expected,BUG
135,NullPointerException caused by null elements in merge() queue,BUG
136,GC nepotism in linked data structures,BUG
137,Single.zip on empty collection never terminate,BUG
138,concat can't display all the groupedBy observers on version 1.1.1,BUG
139,Single#retryWhen allows Observable#complete() and throws,BUG
140,How to track down a MissingBackpressureException?,BUG
141,"Inconsistent behavior between Observable, Single, and Completable subscriptions when propagating from a source Observable.",BUG
142,NullPointerException on OperatorZip,BUG
143,publish(Func1) may leave operators hang,BUG
144,concatMapEager blows up on null values,BUG
145,NPE in CompositeException when nested throws on initCause,BUG
146,Exceptions not being propagated via onError when using toMap with observeOn,BUG
147,Null pointer using ConcatMapEager on Android 4.2,BUG
148,"switchIfEmpty() causes ""more items arrived than were requested"" in bizarre case",BUG
149,Backpressure on OperatorZip doesn't work when the observable is created using toList(),BUG
150,scan infinite loop,BUG
151,[reduce] initial value not allowed to be null anymore,BUG
152,High CPU usage after time changed on device,BUG
153,Bounded replay() request coordination doesn't work properly with latecommers,BUG
154,OperatorFinally calls action twice if action throws exception. Exception thrown by action is swallowed,BUG
155,Outer groupBy doesn't obey backpressure,BUG
156,Applying `scan` after `delay` will delay the initial value ,BUG
157,When is OnErrorThrowable created and received?,BUG
158,1.x Take operator can emit more values than its limit,BUG
159,SyncOnSubscribe can call the unsubscription callback multiple times,BUG
160,Different behaviour of replay between 1.0.13 and 1.0.14,BUG
161,.just(1).filter().first().subscribe(throw) swallows the exception,BUG
162,NullPointerException with flatMap version that handles notification handling,BUG
163,Window with skip > size doesn't request enough,BUG
164,BehaviorSubject.scan not picking up initial value,BUG
165,"""java.lang.IllegalArgumentException: n >= 0 required"" when unsubscribing",BUG
166,Merge Limiting Concurrency - Can Deadlock,BUG
167,MissingBackpressureException when using Retry with Predicate,BUG
168,NoSuchMethodError + delaySubscription() causes BlockingObservable hang forever,BUG
169,NewThreadWorker.tryEnableCancelPolicy doing costly reflection on Android,BUG
170,"Observable.take() on a BehaviorSubject swallows ""fatal"" errors.",BUG
171,switchOnNext() can lose requests,BUG
172,OperatorGroupBy - redundant onStart implementation,BUG
173,Marble diagram for buffer doesn't match actual behaviour,BUG
174,"window/buffer overload questions, incompatibility with Rx.NET?",BUG
175,NullPointerException at rx.exceptions.CompositeException.getListOfCauses(CompositeException.java:245),BUG
176,Data loss with RetryWithPredicate as compared to Retry Infinite,BUG
177,ObserveOn: Unsubscribe of RecursiveScheduler,BUG
178,Exception thrown from onError() is swallowed when using groupBy/flatMap,BUG
179,Race condition in NewThreadWorker,BUG
180,Subscriber.onStart is called twice on nested unsafeSubscription,BUG
181,Scheduler.schedulePeriodically is sensitive to system time changes,BUG
182,"Stack overflow with a combination of BufferTillSubscriber, subscribeOn and concatMap",BUG
183,Backpressure and onComplete from an empty observable,BUG
184,concatMap hangs,BUG
185,concatMap + observeOn throws a NullPointerException sometimes,BUG
186,AbstractOnSubscribe throws exception when onNext contains a request for more ,BUG
187,Using merge() with throttleWithTimeout() leads to MissingBackpressureException,BUG
188,Improve defensive code in merge when onSubscribe function is null,BUG
189,ConcatMap combined with Delay causes a hang,BUG
190,Why retry method with predicate only retries 2 times?,BUG
191,OperatorPublish bugs,BUG
192,OperatorPublish connect(connection) should not return null,BUG
193,onBackpressureBlock() causes hangs,BUG
194,ConnectableObservable.connect() returns a null subscription if already connected,BUG
195,just(T) : RxJavaObservableExecutionHook not called,BUG
196,"sharing a switchMap which produces its result via merge, will stop producing after 128 events",BUG
197,flatMap doesn't propagate onComplete with unsubscribe of child,BUG
198,OperatorMerge - RxRingBuffer throws IllegalStateException again,BUG
199,Widening cast from Subscriber to Observer changes behavior of subscription chain,BUG
200,Unexpected behavior of publish() and connect(),BUG
201,Questions about Zip operator,BUG
202,take + repeat + distinct not completing,BUG
203,"onErrorResumeNext, refCount and retry",BUG
204,NullPointerException in merge,BUG
205,Non deterministic test: OperatorMergeTest.testBackpressureUpstream2,BUG
206,Out of requests in merge,BUG
207,Race conditions in `OperatorOnBackpressureBuffer`,BUG
208,Backpressure: flatMap/merge with maxConcurrent,BUG
209,window time+size emits only 1 window,BUG
210,observeOn() slowing things down considerably,BUG
211,Request more after unsubscription,BUG
212,(Updated): timeout() operator leaking ScheduledFutureTasks on Scheduler,BUG
213,retry() hangs when it is followed by a group by with >= 1024 items,BUG
214,NullPointerException,BUG
215,Backpressure issue,BUG
216,Possible Thread Safety Issue in Merge,BUG
217,Scan/Reduce Overloads & Type Erasure,BUG
218,JVM Doesn't Exit On This Window Example,BUG
219,usage of 2 buffers with both a timespan and a count,BUG
220,ReplaySubject memory leak,BUG
