,Summary,Priority
0,JDBC Appender should use JNDI Manager and JNDI access should be limited.,Major
1,ExtendedLoggerWrapper.logMessage double-logs when location is requested,Major
2, should not re-format the result of Message.getFormattedMessage,Major
3, does not take the MessageFactory into account,Major
7,CVE-2021-45105 fix for Java 7,Major
8,MapLookup should lookup MapMessage before properties,Major
9, 2.x mitigations for CVE-45046 is insufficient,Major
10, 1.2 bridge for Syslog Appender defaults to port 512 instead of 514,Major
12,-core-2.0-beta9.jar CVE-2021-44228 vulnerability ,Major
13,Limit JNDI to the java protocol only,Major
15,Certain strings can cause infinite recursion,Major
16,JNDI lookups in layout (not message patterns) enabled in 2 < 2.16.0,Major
17,UPgrade,Major
19,Limit the protocols JNDI can use and restrict LDAP.,Major
20,ScriptAppenderSelector documentation example fails with importPackage undefined.,Major
22,JsonTemplateLayout epoch resolver renders incorrect values,Major
23,Kafka appender with new topic configuration get overried by the old one,Major
24,Wrong subject on mail when it depends on the LogEvent,Major
25,SmtpManager sends emails with OFF level messages,Major
26,Reduce indirection/branching in PatternLayout to improve throughput,Major
30,"JsonTemplateLayout unable to print file name, line number.",Major
31,Marker.getParents() is not thread-safe,Major
32,FixedDateFormat performs poorly with a PreciseClock,Major
33,RandomAccessFile appender uses incorrect default buffer size,Major
34,Kuberenetes Lookup referring to wrong  classname,Major
36,Avoid overhead in *Manager.setEndOfBatch(boolean),Major
37,Attempting to call getExtendedStackTraceAsString() after deserializing JSON LogEvent results in a NPE,Major
41,ComodificationException in concurrent access to LoggerContext::stop,Major
42,Asynchronous Logger WAITS indefinitely after end of main method,Major
43,Category.setLevel should accept null value,Major
44,JSON Template Layout JsonWriter formattableBuffer Memory leak,Major
47,Race in JsonTemplateLayout where a timestamp could end up unquoted,Major
48,Why the logger get by  LoggerFactory.getILoggerFactory() can only use current LoggerContext,Major
49,Messages logged inconsistently when using JsonTemplateLayout.,Major
50,Broken link to Wiki,Major
54,Integer overflow in DefaultErrorHandler,Major
55,NameUtil.md5(String) could leak plaintext credentials,Major
58,Logger.throwing(Throwable) does not document level it is logging at,Major
59,Logger.catching(Throwable) does not document level it is logging at,Major
61,Change of java Thread name is not reflecting in 2 logs (pattern ),Major
62,"ForkJoinPool common pool is initialized, no option to supply another executor",Major
63,JsonWriter truncation doesn't take surrogates into account,Major
65,JdbcAppender composes an incorrect INSERT statement without a ColumnMapping element.,Major
66, fails to initialize with --cloud-config in Java 8,Major
67,"Rename EventTemplateAdditionalField#type (conflicting with properties file parser) to ""format""",Major
68,AsyncAppender thread gets killed with ThreadDeath exception,Major
70,Deadlock between JUL and Disruptor using async logging,Major
71,JsonTemplateLayout event additional fields are not read from config,Major
72,Shutdown callbacks registered in LoggerContext.setUpShutdownHook() aren't strongly referenced,Major
73,Properties are not resolved with 1 configuration,Major
